epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,676.396,0.33749,0.26024,0.84376,0.9024,0.94537,0.93089,0.69109,0.43564,0.3223,0.75027,0.00028475,0.00028475,0.00028475
158,680.891,0.32928,0.24451,0.83129,0.90432,0.949,0.92708,0.69522,0.42886,0.3177,0.74805,0.000278562,0.000278562,0.000278562
159,685.068,0.32677,0.24954,0.84479,0.90995,0.92822,0.92759,0.68796,0.42765,0.33535,0.75194,0.000272375,0.000272375,0.000272375
160,689.549,0.33921,0.25288,0.848,0.89371,0.94007,0.92789,0.68255,0.42957,0.34441,0.75076,0.000266187,0.000266187,0.000266187
161,693.657,0.3387,0.24859,0.84452,0.87145,0.92934,0.92078,0.68678,0.41952,0.33132,0.74467,0.00026,0.00026,0.00026
162,697.949,0.33217,0.24995,0.83758,0.89425,0.9357,0.93248,0.6944,0.41921,0.32327,0.7434,0.000253812,0.000253812,0.000253812
163,702.341,0.33318,0.24685,0.84747,0.91957,0.91097,0.92962,0.69867,0.42319,0.3311,0.74537,0.000247625,0.000247625,0.000247625
164,706.64,0.33323,0.25251,0.84297,0.91014,0.90266,0.92067,0.68083,0.41678,0.33715,0.74008,0.000241438,0.000241438,0.000241438
165,710.902,0.33329,0.24367,0.84201,0.90921,0.90066,0.92305,0.68298,0.4208,0.33946,0.74,0.00023525,0.00023525,0.00023525
166,715.148,0.3206,0.24456,0.83984,0.92681,0.9001,0.93339,0.70316,0.41326,0.32643,0.73912,0.000229063,0.000229063,0.000229063
167,719.38,0.33018,0.241,0.8444,0.90918,0.92783,0.93656,0.70331,0.41987,0.31992,0.74292,0.000222875,0.000222875,0.000222875
168,723.522,0.32404,0.24023,0.83686,0.89601,0.92178,0.93042,0.69556,0.42154,0.33046,0.74033,0.000216688,0.000216688,0.000216688
169,727.813,0.32493,0.24228,0.84034,0.90489,0.94716,0.94289,0.70169,0.4121,0.31858,0.73798,0.0002105,0.0002105,0.0002105
170,732.111,0.32912,0.2453,0.84353,0.88694,0.94112,0.93146,0.69274,0.41214,0.31213,0.73956,0.000204313,0.000204313,0.000204313
171,736.352,0.33021,0.24823,0.84121,0.92906,0.89891,0.94044,0.68736,0.42099,0.35855,0.74067,0.000198125,0.000198125,0.000198125
172,740.973,0.32663,0.2419,0.83979,0.92359,0.89606,0.94417,0.69881,0.42433,0.36683,0.74295,0.000191938,0.000191938,0.000191938
173,745.405,0.33005,0.24327,0.84204,0.90199,0.94047,0.95251,0.69215,0.42347,0.32822,0.74127,0.00018575,0.00018575,0.00018575
174,749.662,0.3199,0.24226,0.83959,0.90778,0.96155,0.9513,0.70026,0.42586,0.31811,0.74308,0.000179563,0.000179563,0.000179563
175,753.993,0.31675,0.2343,0.8331,0.8977,0.9506,0.93546,0.69978,0.42524,0.31809,0.74606,0.000173375,0.000173375,0.000173375
176,758.362,0.32479,0.23541,0.84297,0.89517,0.94852,0.93341,0.6949,0.42493,0.33918,0.74279,0.000167188,0.000167188,0.000167188
177,762.614,0.31951,0.23652,0.84009,0.90481,0.93767,0.93418,0.70128,0.4188,0.33975,0.73808,0.000161,0.000161,0.000161
178,766.967,0.33821,0.2451,0.84962,0.88377,0.94273,0.93202,0.69424,0.42501,0.32724,0.74114,0.000154812,0.000154812,0.000154812
179,771.343,0.32017,0.2352,0.84226,0.91137,0.90554,0.92286,0.69756,0.42602,0.34138,0.74194,0.000148625,0.000148625,0.000148625
180,775.609,0.31911,0.2295,0.8394,0.90516,0.91787,0.92594,0.69146,0.41724,0.35286,0.73972,0.000142437,0.000142437,0.000142437
